标题,作者,译者,出版社,价格,评分,简介,详细链接
交互系统新概念设计(用户绩效和用户体验设计准则)/UI\UE系列丛书,阿维·法利赛 (Avi Parush), ,机械工业出版社,CNY 79.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/27023063/
情境交互设计,[美]凯伦·霍尔兹布拉特（Karen Holtzblatt）、[美] 休·拜尔 （Hugh Beyer）, ,朱上上、贾璇、陈正捷,124.80,评价人数少于10人,暂无简介,https://book.douban.com/subject/30531267/
以匠心，致设计：网易 UEDC 用户体验设计,网易用户体验设计中心, ,电子工业出版社,95.00元,7.8,"为什么网易云音乐的体验流畅细腻、富有温度？为什么网易严选App的UI设计让人感到温馨、舒适？为什么网易蜗牛读书App的界面设计让用户爱不释手……
《以匠心，...",https://book.douban.com/subject/30302327/
Web界面设计,Bill Scott、Theresa Neil,李松峰,电子工业出版社,108.00,8.6,当前的Web已经进入崭新的时代！《Web界面设计》涵盖了在基于独一无二的Web环境下、在创建丰富体验的过程中设计Web界面的最佳实践、模式和原理。UI专家B...,https://book.douban.com/subject/26345173/
随意搜寻,Peter Morville,沈浩翔,华中科技大学出版社,CNY 68.00,8.1,在这个信息爆炸的年代，我们如何找到出路？在纷繁交错的信息流中，我们如何筛选出想要的信息？既然Google已经魔法般地将正确答案呈现在我们面前，为什么信息架构...,https://book.douban.com/subject/25746680/
人因工程学导论,（美）威肯斯,张侃（等）,华东师范大学出版社,69.80元,8.3,人因学作为一门新兴的学科，在当今工业设计领域越来越受重视，这本《人因工程学导论》的主要意图是对人因学原理进行清楚直观的说明。本书作者之一，美国伊利诺伊大学的...,https://book.douban.com/subject/2184961/
B端产品设计与开发,（美）威肯斯, ,华东师范大学出版社,69.80元,8.4,本书介绍了企业级和消费级产品的关键不同，给出了企业级产品开发过程各种难点的解决方案。你将从中学到如何掌握三大类知识：机构知识、产品知识和行业知识。本书重点探...,https://book.douban.com/subject/34868484/
搞砸了的设计,[日] 中村聪史,邬佳笑,人民邮电出版社,79.00元,6.9,1. 现在有很多书都教人如何做出成功的设计，但是对于成功的定义众说纷纭，成功的法则亦莫衷一是。在眼花缭乱之际，不妨将目光转向那些“搞砸了”的设计，看看它们有...,https://book.douban.com/subject/26850578/
乔纳森传,[美] 利恩德·卡尼,汪琪、岳卉、王文雅,中信出版社,49.00元,7.3,这是第一本聚焦苹果首席设计师乔纳森·艾夫的传记。乔纳森在英国学习了传统的工业设计理论，致力于将设计与生产过程相结合，并结合自己对于设计的理解，形成了独有的乔...,https://book.douban.com/subject/25786645/
Irresistible,Adam Alter, ,Penguin Press,USD 27.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/26990872/
瞬间之美,"[美] Robert Hoekman, Jr.",向怡宁,人民邮电出版社,45.00元,8.0,"本书特色：
本书通过重现用户面对Web应用时由始至终的完整情境，主要针对Web应用中几乎所有相关元素，例如Search、Screencast、Blog 、W...",https://book.douban.com/subject/3886044/
产品的视角：从热闹到门道,后显慧, ,机械工业出版社,69.00,7.4,"本书在创造性的提出互联网产品定义的基础上，为读者提供了一个从0基础到产品操盘手的产品思维培养方法！
全书以互联网产品定义为基础，提出了产品思维学习的RAC模...",https://book.douban.com/subject/26697007/
第三种创新,罗伯托·维甘提 (Roberto Verganti),戴莎,中国人民大学出版社,CNY 52.90,7.9, 《第三种创新》的作者罗伯托•维甘提是创新管理权威专家，米兰理工大学管理学院与设计学院教授，关于意大利设计管理的研究荣获意大利设计界最高荣誉——金罗盘奖。...,https://book.douban.com/subject/25852219/
绝密原型档案,Gara, ,人民邮电出版社,69.0,6.2,"本书重心是阐述如何设计产品原型，笔者根据多个项目的实战经验，在解读原型制作过程的同时分享了一些切实有效的工作方法。
本书共有8章。第1章和读者一起探索产品设...",https://book.douban.com/subject/26815804/
交互的未来,[美] Amber Case,蒋文干、刘文仪、余声稳、王　李,人民邮电出版社,39.00元,7.2,普适计算之父马克 ? 韦泽曾指出，影响最深远的技术是隐匿不见的，它们如纤维般融入日常生活，丝丝入扣，直至不可分辨，这样的平静技术将在 21 世纪起主导作用。...,https://book.douban.com/subject/27133266/
设计体系：数字产品设计的系统化方法,[英] 阿拉 • 霍尔马托娃,望以文,人民邮电出版社,59.00元,6.9,"产品经理和设计师需要懂技术吗？开发人员需要懂设计吗？
应当先做设计再出规范，还是先出规范再做设计？
如果老板的意见与设计师自己的想法相左，设计师应该坚持己见...",https://book.douban.com/subject/34889050/
软件观念革命,[美] Alan Cooper、[美] Robert M. Reimann,詹剑锋、张知非,电子工业出版社,89.00,8.7,本书是一本设计数字化产品的启蒙书，它在帮助您设计更有吸引力、更有效的对话框的同时，还将帮助您理解用户如何了解、学习您的软件，以及与之交互的方式。本书着重讲述...,https://book.douban.com/subject/1392475/
Communicating Design中文版:高效设计沟通之道(原书第2版),Dan M. Brown,田俊静、曾少宁、谢俊,机械工业出版社华章公司,59.00元,6.9,成功的网站设计团队依赖开发人员与客户之间的良好沟通，也离不开开发团队内部成员之间的沟通。线框图、站点地图、流程图和其他设计图建立了一种公共的语言，利用它，设...,https://book.douban.com/subject/6872932/
Design systems,Dan M. Brown, ,机械工业出版社华章公司,59.00元,8.8,Not all design systems are equally effective. Some can generate coherent user ...,https://book.douban.com/subject/27180431/
101 Design Methods,Vijay Kumar, ,Wiley,USD 34.95,8.9,This is the first step-by-step guidebook for successful innovation planning. U...,https://book.douban.com/subject/11228565/
品牌交互化设计,马克.斯皮斯, ,中国青年出版社,89.90,评价人数少于10人,暂无简介,https://book.douban.com/subject/30134184/
设计调研,戴力农, ,电子工业出版社,49.00元,7.5,设计调研是设计专业学生和设计师在信息时代需要掌握的一项基本技能，因此本书全方位地就这一主题开展讨论。首先定性地介绍了常用的数据采集方法，如观察法、访谈法、问...,https://book.douban.com/subject/25842108/
移动应用UI设计模式,[美] Theresa Neil、Theresa Neil,王军锋、郭偎、武艳芳,人民邮电出版社,49.00元,7.3,"内容简介：
当你迫于压力，要制作出设计精良、易于使用的移动应用时，根本就没时间进行完全的创新。这本简要的手册提供了70多种移动应用设计模式作为参考，包括了从...",https://book.douban.com/subject/20381558/
設計思考改造世界,Tim Brown, ,聯經出版公司,NTD360元,8.9,"Design   打動人心，設計思考不只關乎風格
Design　＋　Thinking　用設計思考轉動世界
Tim Brown：改造一切由設計開始
善用設計思...",https://book.douban.com/subject/5263559/
服务设计思维,雅各布施耐德、马克斯迪克多恩,郑军荣,江西美术出版社,88.00元,7.3,雅各布·施耐德、马克·斯迪克多恩著郑军荣编译的《服务设计思维》主要由三大部分构成。基础知识篇阐明了服务设计思维的基本概念以及它与服务营销的关系。这个章节尤其...,https://book.douban.com/subject/26898405/
This Is Service Design Thinking,Marc Stickdorn, ,Wiley,253.00元,9.1,How to design and market services to create outstanding customer experiences  ...,https://book.douban.com/subject/6915786/
赢在用户,[美]Steve Mulder、[美]Zivv Yarr,范晓燕,机械工业出版社,29.00,8.0,您如何保证您的网站确实给予用户他们所需要的，并对您产生商业成果？您需要了解谁是您的用户，您的用户的目标、行为和观点是什么，还要把他们的需求当成您的第一要务。...,https://book.douban.com/subject/2157554/
信息设计实用指南,(美)龙尼·利普顿,王毅、刘小麓,上海人民美术出版社,68.00元,8.3,《信息设计实用指南》展示如何创建各种信息设计材料，让它们既能为受众服务，又能为提供这些信息设计的公司或组织服务。对这个过程的了解，在《信息设计实用指南》中由...,https://book.douban.com/subject/2980860/
Designing Interfaces,Jenifer Tidwell, ,O'Reilly Media,USD 49.95,8.7,Designing a good interface isn't easy. Users demand software that is well-beha...,https://book.douban.com/subject/1455616/
为人的设计,[美] 亨利·德莱福斯,陈雪清、于晓红,译林出版社,39.00元,7.0,美国最伟大的工业设计师之一亨利·德莱福斯从自己丰富的实践经验出发，讲述如何设身处地设计出便于人们使用的产品。《为人的设计》文字生动风趣，配有作者亲笔绘制的幽...,https://book.douban.com/subject/23261868/
支付宝体验设计精髓,支付宝AUX团队, ,机械工业出版社,79,7.0,本书是支付宝用户体验设计团队（AUX）12年工作经验的总结，是支付宝从工具产品走向生活服务平台的用户体验设计实战精华，是支付宝为4.5亿用户提供卓越用户体验...,https://book.douban.com/subject/26910220/
讓設計自然存在的新·設計教科書,後藤武、佐佐木正人、深澤直人,黃友玫,漫遊者文化事業股份有限公司,NT$450,8.5,"「簡單」才是不簡單！
當代日本設計大師深澤直人第一手剖析「剛剛好合適」
生態心理學X工業設計 X建築的三方對話
從理論、案例與關鍵字，融會貫通設計各領域的思...",https://book.douban.com/subject/23513683/
Communicating Design,Dan Brown, ,New Riders Press,USD 44.99,评价人数少于10人,暂无简介,https://book.douban.com/subject/1861298/
企业创新101设计法,[美]维杰•库玛,胡小锐、黄一舟,中信出版社,59.00元,8.0,创新未必都能带来突破。当前，企业组织普遍缺乏一套有效的创新工具和方法。实际上，创新是一门科学，专注于用户体验正是完美创新的起点，科学而标准化的创新方法能够为...,https://book.douban.com/subject/25865988/
工程心理学与人的作业,克里斯托弗 D.威肯斯、贾斯廷 G. 霍兰兹、西蒙•班伯里,张侃、孙向红,机械工业出版社,85.00元,9.0,本书是当今西方使用最广、影响最大的一本工程心理学教科书，由美国最富盛名的专家所著。主要讲述工程设计、使用过程中人—机交互的心理因素，意在从心理的角度关注并改...,https://book.douban.com/subject/25943583/
U一点·料,阿里巴巴集团 1688用户体验设计部, ,机械工业出版社,79.00元,7.9,《U一点·料——阿里巴巴1688UED体验设计践行之路》是1688UED团队历经多年实践之后的心血之作，书中以“道─术─器”的思路为编排脉络，从设计观、思考...,https://book.douban.com/subject/26594029/
SSA：用户搜索心理与行为分析,[美] 罗森菲尔德（Louis Rosenfeld）,汤海、蔡复青,清华大学出版社,59.00,8.0,何为站内搜索分析（SSA）？它如何帮助你挖掘用户搜索曰志，从中洞悉用户搜索心理和行为，从而有针对性地改善用户体验，提升网站价值？这些都可以从《SSA：用户搜...,https://book.douban.com/subject/25861848/
人本界面,（美）拉斯基,史元春,机械工业出版社,39.00元,7.4,《人本界面:交互式系统设计》概述了人机界面设计领域的研究成果，详细论证了界面设计思想应以认知学为基础，并考虑人类的心智特点，在指出当前界面设计中弊端的同时，...,https://book.douban.com/subject/5416997/
Designing for People,Henry Dreyfuss, ,Allworth Press,USD 21.95,评价人数少于10人,暂无简介,https://book.douban.com/subject/1499178/
IDEO Method Cards,Henry Dreyfuss, ,Allworth Press,USD 21.95,评价人数少于10人,暂无简介,https://book.douban.com/subject/3430960/
设计问题(创新模式与交互思维第3辑)(精)/设计思想论丛,布鲁斯·布朗、理查德·布坎南、卡尔·迪桑沃、丹尼斯·当丹、维克多·马格林,孙志详、辛向阳,清华大学出版社,88.00元,评价人数少于10人,暂无简介,https://book.douban.com/subject/27196978/
视界·无界,王涵(牛MO王), ,电子工业出版社,69.8,7.1,作为一名从事设计职业的设计师，或者正在通往成为设计师道路的朋友，都会遇到很多这样或那样的问题。什么是UI？和其他职业有什么区别？我该学什么软件？从零基础如何...,https://book.douban.com/subject/26809099/
交互设计:设计思维与实践,由芳、王建民、肖静如, ,电子工业出版社,69元,6.9,《交互设计:设计思维与实践》可作为设计学专业中交互设计、用户研究、可用性测试等相关课程的专业教材。读者对象主要包括专注于数字产品设计和用户体验的交互设计师、...,https://book.douban.com/subject/27001398/
Rust权威指南,Steve Klabnik、Carol Nichols,毛靖凯、唐刚、沙渺,电子工业出版社,159,8.5,本书由 Rust 核心开发团队编写而成，由浅入深地探讨了 Rust 语言的方方面面。从学习函数、选择数据结构及绑定变量入手，逐步介绍所有权、trait、生命...,https://book.douban.com/subject/35081743/
产品逻辑之美：打造复杂的产品系统,潘一鸣 编著, ,电子工业出版社,79.00元,7.6,互联网已经深刻地改变了这个时代。为了更好地满足用户的需求，互联网产品背后的系统逻辑也变得越来越复杂。为了跟上时代的脚步，每一个互联网从业者都需要不断升级自己...,https://book.douban.com/subject/34762042/
交互设计语言,潘一鸣 编著, ,电子工业出版社,79.00元,评价人数少于10人,暂无简介,https://book.douban.com/subject/30395968/
Axure RP 7 原型设计精髓,[美]Ezra Schwartz、[美]Elizabeth Srail,七印部落,华中科技大学出版社,96.00元,8.9,"Axure创始人作序推荐。本书并获得了中国读者的一致好评，成为阿里巴巴设计师们的必备书籍，并被多家著名的高校、培训机构选为Axure教材。
作者Ezra 和...",https://book.douban.com/subject/26591499/
设计的法则,"威廉·立德威尔(William Lidwell) (作者), 克里蒂娜·霍顿(Kritina Holden) (作者), 吉尔·巴特勒(Jill Butler)",李婵,辽宁科学技术出版社,88.00元,8.7,《设计的法则》按照英文字母顺序编排，因此读者可以根据法则名称迅速找到参考法则。如果你专门对某一设计问题感兴趣，《设计的法则》也按照设计师常见的问题类别来编排...,https://book.douban.com/subject/4845129/
Solving Product Design Exercises,Artiom Dashinsky, ,Independently published,USD 39.99,8.6,Practice your product design and UX skills. Prepare for your next job intervie...,https://book.douban.com/subject/30232654/
用户体验草图设计,比尔·巴克斯顿(Bill Buxton),黄峰,电子工业出版社,168.00元,7.6,"《用户体验草图设计:正确地设计,设计得正确(全彩)》：比尔·盖茨亲笔推荐版
人因国际、百度、华为、微软、腾讯用户体验部门联合推荐!",https://book.douban.com/subject/4201552/
人本界面,（美）拉斯基（Jef Raskin）,史元春,机械工业出版社,28.0,7.9,如果我们想克服目前人机界面上的固有缺陷，就很有必要理解本书的教义；若无此愿望，读读也无妨。交互设计的许多重要方面此书并没有包括在内，因为许多文献中都已经有详...,https://book.douban.com/subject/1138771/
A Touch of Code,Robert Klanten, ,Die Gestalten Verlag,GBP 40.00,8.6,Today’s designers are creating compelling atmospheres and interactive experien...,https://book.douban.com/subject/5960812/
NASA 视觉设计标准手册,Robert Klanten, ,Die Gestalten Verlag,GBP 40.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/27118683/
用户界面设计,施奈德曼 (ShneidermanBen),张国印,电子工业出版社,38.0,6.9,本书面向交互系统的设计、管理和评估人员，综合论述了交互系统中用户界面的设计、实现、管理、维护、培训和改进等方面的内容。具体包括交互式软件的人性因素，涉及对多...,https://book.douban.com/subject/1237890/
信息设计,简·维索基·欧格雷迪(O＇Grady.J.V.),郭瑽,凤凰出版传媒集团，译林出版社,98.00元,8.5,《信息设计》以一种极具启发性的方式展示了一系列振奋人心的设计作品，表现了形式与功能的完美均衡，切实而深入地探讨了对于信息的组织与视觉呈现。针对各种需求——无...,https://book.douban.com/subject/4308069/
Pencil Me in,Christina Wodtke, ,Boxes & Arrows,427.41元,评价人数少于10人,暂无简介,https://book.douban.com/subject/31161440/
Information Architecture for the World Wide Web,Peter Morville、Louis Rosenfeld, ,O'Reilly Media,USD 39.99,8.3,"The post-Ajaxian Web 2.0 world of wikis, folksonomies, and mashups makes well-...",https://book.douban.com/subject/1878625/
設計的法則,威廉‧立德威（William Lidwell）、克汀娜‧荷登（Kritina Holden）、吉兒‧巴特勒（Jill Butler）,呂亨英,原點出版社,新台幣600元,9.2,"好設計，真有法則可遵循嗎？
為什麼有的設計，就是比較好看、好用，
甚至成為經典？
完整揭露「好設計為什麼好？」的100個祕密。
深入淺出，圖解抽象的設計原理...",https://book.douban.com/subject/3154020/
极简设计,[美] 哈特穆特·艾斯林格,朱宏,电子工业出版社,109.00元,7.7,如果三十多年前艾斯林格没有遇见乔布斯，你我今天看到的iPhone和MacBook也许不是现在这个样子，当然，也许根本就没有这么酷的手机和什么平板电脑，甚至你...,https://book.douban.com/subject/26851260/
怦然心动——情感化交互设计指南（修订版）,[美]Stephen P. Anderson,侯景艳、胡冠琦、徐磊,人民邮电出版社,49.00,6.9,本书精彩地阐述出了当人们访问网站，打开软件，购买实体产品和被某人吸引时的心理状态，并且非常深入地用心理学的方法解释了刺激和触发人类行为的因素。书中提供的众多...,https://book.douban.com/subject/26340963/
觸覺不思議,仲谷正史、筧康明、三原聡一郎、南澤孝太, ,劉格安,2017-5-11,评价人数少于10人,暂无简介,https://book.douban.com/subject/27165970/
重新设计工作,杰森·福克斯（Jason Fox）,李龙乔,清华大学出版社,39,7.8,难道只有胡萝卜加大棒和奖励才能调动员工的动力和创造力吗？其实还有第三种选择。本书作者作为激励策略与设计专家，介绍了如何借鉴游戏激励机制，运用游戏化思维来重新...,https://book.douban.com/subject/26978933/
游戏化思维,[美] 凯文·韦巴赫（Kevin Werbach）、[美]  丹·亨特（Dan Hunter）,周逵、王晓丹,浙江人民出版社,36.90,6.9,"[内容简介]
●本书由开设了全世界第一个游戏化课程的沃顿商学院副教授凯文·韦巴赫和丹·亨特所著，第一次全面系统地介绍游戏化的理论，阐述了如何将游戏的理念应用...",https://book.douban.com/subject/25862775/
增长黑客,Sean Ellis,张溪梦,中信出版集团股份有限公司,CNY 59.00,8.3,"脸谱网如何从默默无闻到坐拥二十几亿用户？
爱彼迎、优步何以在短短时间估值超过百亿美元？
领英怎样跨步成为全球领先的职业社交平台?
这些初创公司实现爆发式成长...",https://book.douban.com/subject/27593848/
Designing the User Interface,Ben Shneiderman、Catherine Plaisant, ,Addison Wesley,USD 105.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/1481855/
Thoughtless Acts?,Jane Fulton Suri、Ideo, ,Chronicle Books,USD 29.95,8.8,"From IDEO, the global innovation and design firm responsible for such landmark...",https://book.douban.com/subject/1366830/
UX权威指南,[美]雷克斯·哈特森 (Rex Hartson)、[美]帕德哈·派拉 (Pardha Pyla),樊旺斌,机械工业出版社,129,5.9,本书是关于设计交互的指南，其中介绍了整个用户体验生命周期流程，旨在揭示良好的用户体验是由哪些方面构成的，以及可以通过什么样的过程来保证良好的用户体验效果。主...,https://book.douban.com/subject/27050689/
设计方法卡牌,罗莎 等, ,电子工业出版社,79.00,8.3,本套设计素材提供了54种设计方法，以卡牌的形式展示给读者，每张卡牌包括该设计方法的基本描述、目的、时间成本、工具渠道、使用阶段、操作步骤及其归类属性等信息。...,https://book.douban.com/subject/27091052/
User Interface Design for Programmers,Avram Joel Spolsky, ,Apress,USD 29.95,8.4,Most programmers' fear of user interface (UI) programming comes from their fea...,https://book.douban.com/subject/1463950/
精益设计,Jeff Gothelf,张玳,人民邮电出版社,49.00元,7.8,本书作者根据精益创业法的理念归纳出了行之有效的精益设计方法，让设计团队可以用更低的成本、更高的效率设计出更好的用户体验。本书重点介绍了如何利用精益设计来改善...,https://book.douban.com/subject/24896848/
Don't Make Me Think,Steve Krug, ,New Riders Press,USD 35.00,8.5,People won't use your web site if they can't find their way around it. Wheth...,https://book.douban.com/subject/1901208/
和谐界面,海姆,李学庆,电子工业出版社,49.00元,7.3,《国外计算机科学教材系列·和谐界面:交互设计基础》阐述了如何将人机交互的研究和理论应用到交互设计过程中，涵盖并超越了传统的人机交互范围。每章首先讨论HCI主...,https://book.douban.com/subject/3109564/
用户故事地图,Jeff Patton,李涛、向振东,清华大学出版社,59.00元,7.5,用户故事地图作为一种有效的需求工具，越来越广泛地应用于开发实践中。本书以用户故事地图为主题，强调以合作沟通的方式来全面理解用户需求，涉及的主题包括怎么以故事...,https://book.douban.com/subject/26760348/
数字时代儿童产品设计,[美] Debra Levin Gelman,倪裕伟,华中科技大学出版社,72.80,9.2,情绪化、以自我为中心、缺少耐心、倔强，这些儿童身上表现出的典型特征一直以来使得为儿童设计网站和App成为令人望而生畏的任务。然而，只要掌握一点儿童心理学方面...,https://book.douban.com/subject/27144862/
多设备时代的UI设计法则,原田秀司, ,中国青年出版社,CNY 69.80,6.9,本书从网站架构、设备界面、体验设计三个方面，系统地提炼出72条适合当下多设备时代的UI设计方法，以期为用户打造完美的使用体验。同时，讲解思路也不拘泥于界面设...,https://book.douban.com/subject/26904742/
情感設計,Donald A. Norman,翁鵲嵐、鄭玉屏、張志傑,田園城市文化事業有限公司,NT$360,8.5,你可曾疑惑為何便宜的葡萄酒倒在別緻的玻璃酒杯中，品嘗起來就特別美味？或是為什麼洗過的車或打過蠟的車感覺特別好開？新的研究顯示，有吸引力的東西的確會比較好用。...,https://book.douban.com/subject/1867943/
A Project Guide to UX Design,Russ Unger、Carolyn Chandler, ,New Riders Press,USD 39.99,8.9,"""If you are a young designer entering or contemplating entering the UX field t...",https://book.douban.com/subject/3421275/
决胜B端,杨堃, ,电子工业出版社,69.00元,8.2,《决胜B端——产品经理升级之路》试图提炼了互联网B端产品设计和管理的通用思路和方法，本书一共分为4篇。“概述篇”描述互联网行业的盈利模式及发展趋势，让读者对...,https://book.douban.com/subject/33454250/
设计的思考,周陟, ,清华大学出版社,无69元,8.2,本书是知名设计师历经7年沉淀的设计思路与方法论集合，其中既保留了个人的情绪与判断，也时常回想笔者多年来对设计理解的变化。内容包含五大部分：设计项目管理、设计...,https://book.douban.com/subject/34444463/
网站情感化设计与内容策略,[美] 沃尔特、[美] 姬辛,王兴,人民邮电出版社,39.00,6.9,"一个网站或者Web产品是否能够脱颖而出，往往取决于两个方面：用户体验与内容。
在《网站情感化设计与内容策略》的第一部分“情感化设计”中，用户体验设计专家通过...",https://book.douban.com/subject/26148534/
Make It So,Nathan Shedroff、Christopher Noessel, ,Rosenfeld Media,USD 39.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/19949802/
洞察用户体验,[美] 古德曼 (Elizabeth Goodman)、[美] 库涅夫斯基 (Mike Kuniavsky)、[美] 莫德 (Andrea Moed),刘吉昆,清华大学出版社,89.00元,7.2,《洞察用户体验:方法与实践(第2版)(修订版)》适合所有有志于从事用户体验设计和研究的读者阅读，也适合任何一个希望有所建树的产品和服务策划、研究与设计人员阅...,https://book.douban.com/subject/26640058/
Universal Principles of Design,William Lidwell、Kritina Holden、Jill Butler, ,Rockport Publishers,USD 40.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/1920714/
好产品拼的是共情力,[美]乔恩·科尔科, ,赵婷,2019-7-15,6.2,全流程、系统性、有方法，有案例，将共情力运用在产品的方方面面。产品开发领域教科书，全球产品界殿堂级大师、美国交互设计协会主席、《交互设计沉思录》作者乔恩·科...,https://book.douban.com/subject/34447550/
Interaction Design,Yvonne Rogers、Helen Sharp、Jenny Preece, ,Wiley,CAD 83.95,8.9,"A revision of the #1 text in the Human Computer Interaction field, Interaction...",https://book.douban.com/subject/6864501/
UI设计与认知心理学（全彩）,Yvonne Rogers、Helen Sharp、Jenny Preece, ,Wiley,CAD 83.95,评价人数少于10人,暂无简介,https://book.douban.com/subject/34855617/
交互式系统设计,Yvonne Rogers、Helen Sharp、Jenny Preece, ,Wiley,CAD 83.95,评价人数少于10人,暂无简介,https://book.douban.com/subject/26932933/
